entity,date,score_isolation_forest,score_lof,score_isolation_forest_norm,score_lof_norm,score_combined_norm,rank_isolation_forest,rank_lof,rank_combined
user054,2025-12-31,-0.05718842065661889,0.24345038423085663,0.3699745904688513,1.0,0.6849872952344256,4.0,1.0,2.5
user017,2025-12-31,0.09517161787077588,-0.2403011224658218,1.0,0.2798266291103261,0.639913314555163,1.0,7.0,4.0
user018,2025-12-31,0.017951243830657937,-0.1833932582140505,0.6806853145418033,0.36454683744246796,0.5226160759921357,3.0,5.0,4.0
user016,2025-12-31,-0.09751010295749529,-0.03723951728369013,0.203240027717826,0.5821296890033858,0.3926848583606059,6.0,2.0,4.0
user011,2025-12-31,-0.0724099522488415,-0.2069476125977212,0.30703189389453217,0.3294808612939856,0.3182563775942589,5.0,6.0,5.5
user012,2025-12-31,-0.11756697619519024,-0.1734395469999268,0.12030266502333542,0.3793651845870331,0.24983392480518427,8.0,3.0,5.5
user024,2025-12-31,0.01916898684696977,-0.33017331486209534,0.6857208149917301,0.14603157348509876,0.41587619423841443,2.0,12.0,7.0
user010,2025-12-31,-0.1148022811248336,-0.2929997508267208,0.13173498127085995,0.20137281903934778,0.16655390015510385,7.0,8.0,7.5
user006,2025-12-31,-0.1410492559476178,-0.1809124808376601,0.023200872054911528,0.3682400348399949,0.1957204534474532,14.0,4.0,9.0
user015,2025-12-31,-0.1204434521107704,-0.32573344169722107,0.10840812276516958,0.1526413274170384,0.130524725091104,9.0,11.0,10.0
user025,2025-12-31,-0.1304543083128774,-0.2989377762688703,0.06701213836237044,0.19253272709151464,0.12977243272694255,12.0,9.0,10.5
user023,2025-12-31,-0.1246700411907386,-0.350822891863126,0.09093071502909804,0.11529001450200146,0.10311036476554974,11.0,14.0,12.5
user014,2025-12-31,-0.13984654181010714,-0.3352695028125321,0.028174226448608494,0.13844474676901242,0.08330948660881046,13.0,13.0,13.0
user008,2025-12-31,-0.1204629714599929,-0.4282649641151546,0.10832740812301962,0.0,0.05416370406150981,10.0,18.0,14.0
user009,2025-12-31,-0.14665995943144405,-0.3164501853992536,0.0,0.16646155099958113,0.08323077549979056,18.0,10.0,14.0
user019,2025-12-31,-0.14309271412748942,-0.36170736992242536,0.014750949167802866,0.09908601069875263,0.05691847993327775,15.0,16.0,15.5
user022,2025-12-31,-0.14594220171037625,-0.35675910425955415,0.0029680066146647644,0.10645262168219302,0.05471031414842889,17.0,15.0,16.0
user065,2025-12-31,-0.14432944934599307,-0.39104922577367773,0.009636913886305757,0.05540403153376574,0.03252047271003575,16.0,17.0,16.5
