entity_type,entity,date,severity,score_combined_norm,rank_combined,score_isolation_forest,score_lof,rank_isolation_forest,rank_lof,top_contributors,contrib1_feature,contrib1_z,contrib1_value,contrib1_baseline_median,contrib2_feature,contrib2_z,contrib2_value,contrib2_baseline_median,contrib3_feature,contrib3_z,contrib3_value,contrib3_baseline_median,contrib4_feature,contrib4_z,contrib4_value,contrib4_baseline_median,contrib5_feature,contrib5_z,contrib5_value,contrib5_baseline_median
user,user019,2025-12-31,low,0.05691847993327775,15.5,-0.14309271412748942,-0.36170736992242536,15.0,16.0,"siem_unique_source_process:-1.31 (v=12, base=28); siem_business_share:-1.07 (v=0, base=0); siem_night_share:+0.71 (v=0, base=0); siem_unique_destination_addr:-0.67 (v=7, base=11); siem_unique_event_class:-0.67 (v=4, base=5)",siem_unique_source_process,-1.3068258464859033,12.0,27.5,siem_business_share,-1.0732597150401786,0.386001386001386,0.4928685725922779,siem_night_share,0.7148983234979234,0.2453222453222453,0.19353716476943855,siem_unique_destination_addr,-0.6744907594765952,7.0,11.0,siem_unique_event_class,-0.6744907594765952,4.0,5.0
user,user022,2025-12-31,low,0.05471031414842889,16.0,-0.14594220171037625,-0.35675910425955415,17.0,15.0,"siem_events_total:-3.96 (v=837, base=2802); siem_unique_source_process:-1.93 (v=13, base=23); siem_night_share:+1.49 (v=0, base=0); siem_unique_destination_addr:-1.35 (v=9, base=11); pan_share_of_all_events:+0.92 (v=1, base=1)",siem_events_total,-3.9612469267317527,837.0,2801.5,siem_unique_source_process,-1.9271164556474147,13.0,23.0,siem_night_share,1.490012996049995,0.2497013142174432,0.2111385185185185,siem_unique_destination_addr,-1.3489815189531904,9.0,11.0,pan_share_of_all_events,0.9198768486269232,0.7336939230034999,0.5274705099712347
user,user065,2025-12-31,low,0.03252047271003575,16.5,-0.14432944934599307,-0.39104922577367773,16.0,17.0,"siem_unique_destination_addr:-2.70 (v=9, base=13); siem_unique_name:-2.70 (v=3, base=5); siem_unique_source_process:-2.22 (v=1, base=5); siem_events_total:-1.23 (v=3068, base=3440); siem_unique_event_class:-1.01 (v=3, base=5)",siem_unique_destination_addr,-2.697963037906381,9.0,13.0,siem_unique_name,-2.697963037906381,3.0,5.0,siem_unique_source_process,-2.219252449187509,1.0,5.0,siem_events_total,-1.2343513159879562,3068.0,3439.5,siem_unique_event_class,-1.010752997334968,3.0,5.0
user,user011,2025-12-31,medium,0.3182563775942589,5.5,-0.0724099522488415,-0.2069476125977212,5.0,6.0,"siem_unique_event_class:+2.87 (v=18, base=10); siem_events_total:-2.36 (v=2963, base=5468); siem_unique_name:+2.29 (v=19, base=10); siem_unique_source_process:+1.35 (v=7, base=6); siem_unique_destination_addr:+1.01 (v=46, base=37)",siem_unique_event_class,2.86658572777553,18.0,9.5,siem_events_total,-2.3576582095033256,2963.0,5467.5,siem_unique_name,2.2932685822204237,19.0,10.5,siem_unique_source_process,1.3489815189531904,7.0,6.0,siem_unique_destination_addr,1.0117361392148927,46.0,37.0
user,user012,2025-12-31,medium,0.24983392480518427,5.5,-0.11756697619519024,-0.1734395469999268,8.0,3.0,"siem_unique_name:+5.40 (v=18, base=10); siem_unique_event_class:+4.72 (v=17, base=10); pan_events_total:+2.25 (v=5917, base=2952); siem_unique_category:+2.04 (v=2, base=1); pan_business_share:+2.02 (v=1, base=0)",siem_unique_name,5.395926075812762,18.0,10.0,siem_unique_event_class,4.721435316336167,17.0,10.0,pan_events_total,2.250453411894616,5917.0,2952.5,siem_unique_category,2.0402645480028614,2.0,1.0,pan_business_share,2.0247995429074184,0.7530843332769985,0.46927332559819523
user,user024,2025-12-31,medium,0.41587619423841443,7.0,0.01916898684696977,-0.33017331486209534,2.0,12.0,"siem_unique_hours:-20.08 (v=2, base=24); pan_unique_hours:-6.75 (v=2, base=24); siem_events_total:-5.41 (v=65, base=15238); siem_unique_event_class:+5.40 (v=14, base=6); siem_unique_source_process:-3.99 (v=2, base=34)",siem_unique_hours,-20.083160441856087,2.0,24.0,pan_unique_hours,-6.750661343263234,2.0,24.0,siem_events_total,-5.407865542360961,65.0,15238.5,siem_unique_event_class,5.395926075812762,14.0,6.0,siem_unique_source_process,-3.985627215088972,2.0,34.5
user,user010,2025-12-31,medium,0.16655390015510385,7.5,-0.1148022811248336,-0.2929997508267208,7.0,8.0,"siem_night_share:+4.31 (v=0, base=0); siem_unique_source_process:-3.13 (v=12, base=38); siem_events_total:-3.05 (v=5625, base=12055); siem_unique_destination_addr:-2.70 (v=14, base=22); siem_unique_category:+2.64 (v=2, base=1)",siem_night_share,4.312685098305593,0.2336,0.11574283384145505,siem_unique_source_process,-3.127184430300578,12.0,37.5,siem_events_total,-3.050985285567715,5625.0,12055.0,siem_unique_destination_addr,-2.697963037906381,14.0,22.0,siem_unique_category,2.6381811916545845,2.0,1.0
user,user006,2025-12-31,medium,0.1957204534474532,9.0,-0.1410492559476178,-0.1809124808376601,14.0,4.0,"siem_unique_destination_addr:-12.14 (v=5, base=23); siem_unique_source_process:-5.59 (v=1, base=30); siem_events_total:-5.48 (v=3495, base=10542); pan_unique_destination_addr:-2.15 (v=188, base=382); siem_unique_event_class:-2.02 (v=7, base=10)",siem_unique_destination_addr,-12.140833670578713,5.0,23.0,siem_unique_source_process,-5.588637721377503,1.0,30.0,siem_events_total,-5.482668543726995,3495.0,10542.5,pan_unique_destination_addr,-2.1451017596468764,188.0,382.0,siem_unique_event_class,-2.023472278429786,7.0,10.0
host,tmtp-000112,2025-12-31,critical,1.0,1.0,0.03406680775262849,338.28869339177635,1.0,1.0,"siem_unique_destination_addr:-2.70 (v=14, base=18); siem_unique_category:+2.22 (v=2, base=1); siem_unique_source_process:-1.57 (v=38, base=48); pan_share_of_all_events:-0.95 (v=0, base=0); siem_unique_event_class:-0.94 (v=9, base=12)",siem_unique_destination_addr,-2.697963037906381,14.0,18.0,siem_unique_category,2.22332674570829,2.0,1.0,siem_unique_source_process,-1.5738117721120555,38.0,48.5,pan_share_of_all_events,-0.9549383819426756,0.1451406103085734,0.23092243189547815,siem_unique_event_class,-0.9442870632672333,9.0,12.5
host,tmtp-000177,2025-12-31,high,0.049077893158695866,4.0,-0.24804751884515175,-0.3814095583039896,5.0,3.0,"siem_unique_event_class:-2.32 (v=5, base=6); siem_night_share:+2.15 (v=0, base=0); siem_unique_name:-2.02 (v=5, base=6); siem_business_share:-1.97 (v=0, base=1); siem_events_total:-0.84 (v=2507, base=2794)",siem_unique_event_class,-2.3245917293310954,5.0,6.0,siem_night_share,2.1465352016986046,0.3230953330674112,0.19755046834906081,siem_unique_name,-2.023472278429786,5.0,6.5,siem_business_share,-1.9652802691842441,0.4120462704427602,0.5148421096753788,siem_events_total,-0.8401808808262805,2507.0,2793.5
host,tmtp-004135,2025-12-31,low,0.019590414541725533,10.0,-0.2661642159205718,-0.7139775249052198,11.0,9.0,"siem_unique_source_process:-2.25 (v=2, base=5); siem_unique_event_class:-1.83 (v=3, base=4); siem_unique_name:-1.68 (v=3, base=4); siem_unique_destination_addr:-1.35 (v=3, base=5); siem_business_share:-0.97 (v=0, base=0)",siem_unique_source_process,-2.2519421669563506,2.0,5.0,siem_unique_event_class,-1.8292495308606334,3.0,4.0,siem_unique_name,-1.6779552975519119,3.0,4.0,siem_unique_destination_addr,-1.3489815189531904,3.0,5.0,siem_business_share,-0.9716232671146678,0.4154929577464789,0.46189288910807896
host,TMTP-000023-NB,2025-12-31,low,0.017521511591785888,12.0,-0.267420392098621,-0.7535164235913636,12.0,12.0,"siem_unique_name:-1.35 (v=3, base=13); siem_unique_event_class:-1.01 (v=3, base=9); siem_business_share:-0.75 (v=0, base=1); siem_night_share:+0.74 (v=0, base=0); siem_unique_destination_addr:-0.67 (v=5, base=6)",siem_unique_name,-1.3489815189531904,3.0,13.0,siem_unique_event_class,-1.011736139214893,3.0,9.0,siem_business_share,-0.7458395733330172,0.4033264033264033,0.6359163591635917,siem_night_share,0.7440333117846704,0.2494802494802495,0.1567852437417654,siem_unique_destination_addr,-0.6744907594765952,5.0,6.0
host,tmtp-004132,2025-12-31,low,0.010068448839604819,12.5,-0.2720854485982139,-0.7442243340433277,14.0,11.0,"siem_night_share:-0.35 (v=0, base=0); day_of_week:-0.34 (v=2, base=3); siem_events_total:-0.33 (v=635, base=658); siem_business_share:+0.04 (v=0, base=0); is_weekend:+0.00 (v=0, base=0)",siem_night_share,-0.3500094734882805,0.2125984251968504,0.2213794800785724,day_of_week,-0.3372453797382976,2.0,3.0,siem_events_total,-0.3300699461268445,635.0,658.0,siem_business_share,0.04000273969448847,0.3968503937007874,0.39564301877304725,is_weekend,0.0,0.0,0.0
host,tmtp-000085,2025-12-31,low,0.012600402384197271,13.0,-0.2704835551784399,-0.76592220457413,13.0,13.0,"siem_events_total:-0.65 (v=2137, base=2394); day_of_week:-0.34 (v=2, base=3); siem_unique_source_process:-0.34 (v=30, base=31); siem_business_share:+0.29 (v=1, base=1); siem_night_share:-0.23 (v=0, base=0)",siem_events_total,-0.6492761516456945,2137.0,2394.5,day_of_week,-0.3372453797382976,2.0,3.0,siem_unique_source_process,-0.3372453797382976,30.0,31.0,siem_business_share,0.2866387861274899,0.6663547028544688,0.6552758749022101,siem_night_share,-0.2295320557022251,0.1094992980814225,0.11550196542890084
host,tmtp-003312,2025-12-31,low,0.0,16.0,-0.2783212892721454,-0.8035856241134802,16.0,16.0,"siem_night_share:+2.07 (v=0, base=0); siem_business_share:-1.81 (v=0, base=1); siem_events_total:-1.75 (v=459, base=540); siem_unique_source_process:+0.67 (v=5, base=4); day_of_week:-0.34 (v=2, base=3)",siem_night_share,2.065150223548263,0.2135076252723311,0.18347567218061314,siem_business_share,-1.8116066304918488,0.4400871459694989,0.5004472271914132,siem_events_total,-1.745111012614048,459.0,540.5,siem_unique_source_process,0.6744907594765952,5.0,4.0,day_of_week,-0.3372453797382976,2.0,3.0
host,tmtp-000833,2025-12-31,low,0.1705585315319592,9.0,-0.17177917289361577,-0.7831852390971268,3.0,15.0,"siem_unique_name:+1.37 (v=9, base=3); siem_unique_source_process:-1.14 (v=22, base=33); siem_night_share:+0.77 (v=0, base=0); siem_business_share:-0.68 (v=0, base=0); siem_unique_destination_addr:-0.67 (v=2, base=3)",siem_unique_name,1.3729275974248696,9.0,3.0,siem_unique_source_process,-1.1414459006526996,22.0,33.0,siem_night_share,0.7685304418279783,0.2458415726416191,0.23543755388221016,siem_business_share,-0.684536770133542,0.3801326043968826,0.4034083332982874,siem_unique_destination_addr,-0.6744907594765952,2.0,3.0
host,tmtp-000907,2025-12-31,low,0.028034062865351664,9.0,-0.26089127615036384,-0.7113173365338967,10.0,8.0,"siem_night_share:+0.73 (v=0, base=0); siem_events_total:-0.37 (v=493, base=514); day_of_week:-0.34 (v=2, base=3); siem_business_share:+0.14 (v=0, base=0); is_weekend:+0.00 (v=0, base=0)",siem_night_share,0.7348558355732314,0.2373225152129817,0.2293325673837539,siem_events_total,-0.3679040506235974,493.0,514.0,day_of_week,-0.3372453797382976,2.0,3.0,siem_business_share,0.1425583645615335,0.4137931034482758,0.41102516095125474,is_weekend,0.0,0.0,0.0
host,tmtp-003612,2025-12-31,low,0.16724456907400295,9.0,-0.17386270950319654,-0.7690177648386226,4.0,14.0,"siem_events_total:-2.46 (v=1671, base=2739); siem_business_share:+2.42 (v=1, base=1); siem_unique_hours:-1.69 (v=12, base=17); siem_unique_destination_addr:-1.35 (v=3, base=5); siem_unique_name:-0.67 (v=5, base=6)",siem_events_total,-2.458553348535849,1671.0,2739.0,siem_business_share,2.4152845096612814,0.7360861759425493,0.567830154731918,siem_unique_hours,-1.6862268986914881,12.0,17.0,siem_unique_destination_addr,-1.3489815189531904,3.0,5.0,siem_unique_name,-0.6744907594765952,5.0,6.5
host,tmtp-000143,2025-12-31,low,0.008253039380719779,9.5,-0.27349918014637775,-0.4408240292176977,15.0,4.0,"siem_events_total:-2.60 (v=1479, base=2541); siem_unique_source_process:-2.43 (v=16, base=34); siem_night_share:+2.22 (v=0, base=0); siem_unique_event_class:-2.01 (v=5, base=6); siem_business_share:-1.75 (v=0, base=1)",siem_events_total,-2.6000333450604143,1479.0,2541.0,siem_unique_source_process,-2.428166734115743,16.0,34.0,siem_night_share,2.2211996768676676,0.2190669371196754,0.13682977511994684,siem_unique_event_class,-2.006932429798716,5.0,6.0,siem_business_share,-1.7493287909796813,0.4300202839756592,0.5770097513738398
host,tmtp-003672,2025-12-31,medium,0.030932125457750224,5.5,-0.2594251411241057,-0.33736214117018193,9.0,2.0,"siem_events_total:-3.55 (v=1439, base=3496); siem_unique_users:-2.70 (v=3, base=7); siem_night_share:+2.52 (v=0, base=0); siem_unique_source_process:-2.02 (v=30, base=36); siem_business_share:-1.89 (v=0, base=1)",siem_events_total,-3.549270428703567,1439.0,3496.5,siem_unique_users,-2.697963037906381,3.0,7.0,siem_night_share,2.520655939596706,0.2466990965948575,0.1920602214831012,siem_unique_source_process,-2.023472278429786,30.0,36.0,siem_business_share,-1.8882401637238198,0.3891591382904795,0.5155410293509715
host,tmtp-000282,2025-12-31,medium,0.0434608419263867,6.0,-0.25145472773513344,-0.4923362538461209,7.0,5.0,"siem_night_share:+4.97 (v=0, base=0); siem_business_share:-2.81 (v=0, base=0); siem_events_total:-2.59 (v=2793, base=4630); siem_unique_event_class:-2.04 (v=5, base=6); siem_unique_destination_addr:-1.35 (v=4, base=6)",siem_night_share,4.969828259865484,0.2796276405298962,0.20418862724420767,siem_business_share,-2.8119183860785557,0.3748657357679914,0.46572428893506834,siem_events_total,-2.5901290920339473,2793.0,4630.5,siem_unique_event_class,-2.0402645480028614,5.0,6.0,siem_unique_destination_addr,-1.3489815189531904,4.0,6.0
host,tmtp-005278,2025-12-31,medium,0.193277385499596,6.0,-0.15764481357985238,-0.7182300926195306,2.0,10.0,"siem_night_share:-5.29 (v=0, base=0); siem_events_total:-4.99 (v=285, base=496); siem_business_share:+4.64 (v=1, base=0); siem_unique_destination_addr:-3.73 (v=3, base=5); siem_unique_hours:-3.03 (v=12, base=24)",siem_night_share,-5.293243363111531,0.0,0.20463709677419356,siem_events_total,-4.993598254370582,285.0,496.0,siem_business_share,4.636697611253538,0.6491228070175439,0.472764898847837,siem_unique_destination_addr,-3.726498685472758,3.0,5.0,siem_unique_hours,-3.033325722383195,12.0,24.0
host,tmtp-000224,2025-12-31,medium,0.04474395386241848,6.5,-0.25055255397353104,-0.6014447299921268,6.0,7.0,"siem_unique_users:+2.02 (v=7, base=4); siem_unique_destination_addr:+0.67 (v=5, base=4); siem_unique_name:+0.67 (v=5, base=4); siem_night_share:+0.64 (v=0, base=0); siem_events_total:+0.64 (v=2571, base=2031)",siem_unique_users,2.023472278429786,7.0,4.0,siem_unique_destination_addr,0.6744907594765952,5.0,4.0,siem_unique_name,0.6744907594765952,5.0,4.0,siem_night_share,0.6415111972523622,0.2913263321664722,0.168348623853211,siem_events_total,0.6367570106946878,2571.0,2031.0
host,tmtp-000565,2025-12-31,medium,0.034515240756317296,7.0,-0.2569571838030914,-0.5862768441277266,8.0,6.0,"siem_unique_source_process:-4.18 (v=17, base=32); siem_business_share:-1.56 (v=0, base=1); siem_night_share:+1.40 (v=0, base=0); siem_events_total:-1.28 (v=1498, base=2601); siem_unique_users:-1.00 (v=3, base=4)",siem_unique_source_process,-4.181842708754891,17.0,32.5,siem_business_share,-1.5642782998628388,0.397196261682243,0.5443208625007033,siem_night_share,1.3965567356189532,0.2216288384512683,0.1607457174706863,siem_events_total,-1.2815905386781818,1498.0,2601.0,siem_unique_users,-1.0005752085606514,3.0,4.0
