Timestamp,Name,DeviceProduct,DeviceVendor,DestinationAddress,DestinationUserName,SourceUserName,SourceProcessName,DeviceEventClassID,DeviceCustomString4,DeviceCustomString4Label,DeviceEventCategory,Date
2025-12-10 01:16:45,TRAFFIC,PAN-OS,Palo Alto Networks,20.190.181.2,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:17:59,TRAFFIC,PAN-OS,Palo Alto Networks,130.193.49.131,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:17:59,TRAFFIC,PAN-OS,Palo Alto Networks,84.201.132.175,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:17:59,TRAFFIC,PAN-OS,Palo Alto Networks,51.250.35.43,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:17:59,TRAFFIC,PAN-OS,Palo Alto Networks,130.193.49.131,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:17:59,TRAFFIC,PAN-OS,Palo Alto Networks,51.250.35.43,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:18:08,TRAFFIC,PAN-OS,Palo Alto Networks,13.107.213.44,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:18:26,TRAFFIC,PAN-OS,Palo Alto Networks,185.97.166.148,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:18:26,TRAFFIC,PAN-OS,Palo Alto Networks,185.97.166.148,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:18:26,TRAFFIC,PAN-OS,Palo Alto Networks,40.126.53.21,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:19:29,TRAFFIC,PAN-OS,Palo Alto Networks,184.24.145.128,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:19:29,TRAFFIC,PAN-OS,Palo Alto Networks,142.250.186.99,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:24:09,TRAFFIC,PAN-OS,Palo Alto Networks,150.171.22.17,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:28:05,TRAFFIC,PAN-OS,Palo Alto Networks,130.193.50.30,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:28:05,TRAFFIC,PAN-OS,Palo Alto Networks,84.201.132.175,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:28:05,TRAFFIC,PAN-OS,Palo Alto Networks,84.201.132.175,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:28:05,TRAFFIC,PAN-OS,Palo Alto Networks,130.193.50.30,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:32:01,TRAFFIC,PAN-OS,Palo Alto Networks,20.231.128.65,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:32:17,TRAFFIC,PAN-OS,Palo Alto Networks,20.72.205.209,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:32:19,TRAFFIC,PAN-OS,Palo Alto Networks,20.72.205.209,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:33:22,TRAFFIC,PAN-OS,Palo Alto Networks,20.42.72.131,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:33:22,TRAFFIC,PAN-OS,Palo Alto Networks,20.42.72.131,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:33:22,TRAFFIC,PAN-OS,Palo Alto Networks,20.42.72.131,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:33:22,TRAFFIC,PAN-OS,Palo Alto Networks,20.42.72.131,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:33:38,TRAFFIC,PAN-OS,Palo Alto Networks,20.231.128.65,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:33:38,TRAFFIC,PAN-OS,Palo Alto Networks,20.231.128.65,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:35:56,TRAFFIC,PAN-OS,Palo Alto Networks,79.133.168.37,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:35:56,TRAFFIC,PAN-OS,Palo Alto Networks,79.133.170.3,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:35:56,TRAFFIC,PAN-OS,Palo Alto Networks,79.133.168.37,,user001,,end,Trusted Zone,,,2025-12-10
2025-12-10 01:36:05,TRAFFIC,PAN-OS,Palo Alto Networks,79.133.170.3,,user001,,end,Trusted Zone,,,2025-12-10
