entity,date,day_of_week,is_weekend,siem_events_total,siem_unique_destination_addr,siem_unique_source_process,siem_unique_event_class,siem_unique_category,siem_unique_name,siem_unique_hours,siem_night_share,siem_business_share,pan_events_total,pan_unique_destination_addr,pan_unique_event_class,pan_unique_category,pan_unique_name,pan_unique_hours,pan_night_share,pan_business_share,pan_share_of_all_events,siem_unique_users,pan_unique_users
cplus-010620,2025-12-09,1,0,4335,4,3,3,1,3,24,0.2493656286043829,0.3806228373702422,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-10,2,0,4343,2,2,3,1,3,24,0.2475247524752475,0.3776191572645637,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-11,3,0,4371,3,3,3,1,3,24,0.2491420727522306,0.3806909174102036,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-12,4,0,4377,6,2,3,1,3,24,0.2472012794151245,0.385195339273475,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-13,5,1,4135,5,2,4,1,4,24,0.2585247883917775,0.3588875453446191,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-14,6,1,4143,4,2,4,1,4,24,0.2548877624909486,0.3666425295679459,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-15,0,0,4158,3,2,4,1,4,24,0.2455507455507455,0.3612313612313612,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-16,1,0,4266,4,3,4,1,4,24,0.2531645569620253,0.3673230192217534,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-17,2,0,4230,2,2,3,1,3,24,0.2486997635933806,0.3782505910165484,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-18,3,0,4200,4,2,4,1,4,24,0.2528571428571428,0.370952380952381,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-19,4,0,4263,5,2,4,1,4,24,0.2580342481820314,0.3746188130424583,0,0,0,0,0,0,0.0,0.0,0.0,0,0
