entity,date,score_iso,score_lof,score_iso_norm,score_lof_norm,score_combined_norm,rank_combined,severity
TMTP-000023-NB,2025-12-31,-0.2655676886467877,-0.49960354366808524,0.041008994933579214,0.0006208746523587451,0.02081493479296898,23.0,low
cplus-010620,2025-12-31,-0.21094839027454648,-0.4411402373407969,0.22403718591115504,0.0010775339124114312,0.11255735991178324,9.0,medium
cplus-0107994,2025-12-31,-0.2604751251888694,-0.5681200451651927,0.05807407458343063,8.56894765510692e-05,0.029079882029990848,18.0,low
tmtp-000085,2025-12-31,-0.2606256243959763,-0.5023573952099007,0.05756975471039584,0.0005993642061253368,0.02908455945826059,17.0,low
tmtp-000112,2025-12-31,0.02061454132693108,127.44482472776511,1.0,1.0,1.0,1.0,critical
tmtp-000143,2025-12-31,-0.26817374069573313,-0.14332420090583886,0.032276165945898556,0.0034037870680036957,0.017839976506951127,25.0,low
tmtp-000177,2025-12-31,-0.2448352029473052,-0.05324468872355381,0.11048314537365991,0.004107401795997085,0.0572952735848285,11.0,medium
tmtp-000187,2025-12-31,-0.26411579411765584,-0.09883410677472271,0.04587426484873245,0.0037513010001075796,0.024812782924420015,20.0,low
tmtp-000224,2025-12-31,-0.24876394130183915,-0.21868239537472522,0.09731802067809968,0.0028151611505364614,0.05006659091431807,12.0,medium
tmtp-000247,2025-12-31,-0.15851039827272756,-0.18443123159123398,0.3997558622877678,0.0030826983818683785,0.2014192803348181,3.0,high
tmtp-000262,2025-12-31,-0.18018455858697346,0.20205687851529675,0.327126178796804,0.006101572706087522,0.16661387575144576,6.0,high
tmtp-000282,2025-12-31,-0.25451559944673613,-0.27779579751619,0.07804432773888487,0.0023534239656773474,0.04019887585228111,14.0,medium
tmtp-000323,2025-12-31,-0.27100761302086745,-0.3993165944307171,0.022779915708558342,0.0014042200857370421,0.012092067897147693,26.0,low
tmtp-000392,2025-12-31,-0.23902865680562047,-0.57535060740943,0.1299407669069402,2.9211261211456774e-05,0.06498498908407584,10.0,medium
tmtp-000417,2025-12-31,-0.18766443506959524,-0.4237624445568169,0.30206126031286856,0.001213272557599501,0.15163726643523404,7.0,medium
tmtp-000565,2025-12-31,-0.24933275076297007,-0.17834812060605243,0.09541195139884598,0.0031302138088228535,0.049271082603834414,13.0,medium
tmtp-000766,2025-12-31,-0.27780559865540116,-0.5531357833034276,0.0,0.00020273215449888497,0.00010136607724944248,28.0,low
tmtp-000833,2025-12-31,-0.17483910007638637,-0.4893809421538988,0.3450387047774686,0.0007007238079495724,0.1728697142927091,5.0,high
tmtp-000907,2025-12-31,-0.2562236150112567,-0.5783649181688805,0.0723208012884862,5.666357451249855e-06,0.036163233822968724,15.0,low
tmtp-003146,2025-12-31,-0.262524257448254,-0.17472348567805995,0.05120747282020548,0.00315852597945022,0.027182999399827847,19.0,low
tmtp-003213,2025-12-31,0.015423808148203877,-0.561105437850351,0.9826059555530182,0.00014048085916674175,0.4913732182060925,2.0,critical
tmtp-003312,2025-12-31,-0.2734593779321393,-0.5312896184521406,0.01456409987448959,0.0003733734353756252,0.007468736654932608,27.0,low
tmtp-003612,2025-12-31,-0.19674389406636456,-0.514994633297599,0.27163617239049553,0.0005006542261948268,0.13606841330834518,8.0,medium
tmtp-003672,2025-12-31,-0.2641425221782906,-0.13517296303460324,0.04578469964500212,0.0034674567180565607,0.02462607818152934,21.0,low
tmtp-004018,2025-12-31,-0.2643581655447847,-0.46117408239097957,0.04506208297942831,0.0009210487351036202,0.022991565857265965,22.0,low
tmtp-004132,2025-12-31,-0.26656545905000284,-0.46855721533462646,0.03766548600259952,0.0008633787838346704,0.019264432393217096,24.0,low
tmtp-004135,2025-12-31,-0.25814803628137944,-0.579090347434005,0.06587210358920659,0.0,0.032936051794603294,16.0,low
tmtp-005278,2025-12-31,-0.15835946202540402,-0.343803932739446,0.40026164667394387,0.001837831740705287,0.20104973920732458,4.0,high
