ClusterID	ClusterName	TenantID	TenantName	Timestamp	Name	DeviceProduct	DeviceVendor	DestinationAddress	DestinationUserName	SourceUserName	SourceProcessName	DeviceEventClassID	DeviceCustomString4	DeviceCustomString4Label	DeviceEventCategory
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:11:57.740+03:00	A new process has been created.	Windows	Microsoft	10.50.101.5	a.avakian	tmtp-003672$	C:\\Windows\\System32\\svchost.exe	4688	C:\\Windows\\system32\\backgroundTaskHost.exe -ServerName:Global.DesktopSpotlight.AppXz2j21w56bgxkgsjhtn7zkjsepq96erz2.mca	Command Line	Microsoft-Windows-Security-Auditing
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:12:02.732+03:00	An account was logged off.	Windows	Microsoft	10.14.1.72	a.avakian			4634			Microsoft-Windows-Security-Auditing
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.751+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.752+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.757+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.804+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.804+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.805+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.826+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.834+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.850+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.850+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.850+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.850+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.851+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.851+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.851+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.853+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.855+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.855+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.859+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.862+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:05.865+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:06.772+03:00				10.14.1.72		UCLH\\A.Avakian					
12f4bb5a-95dd-4d30-9c88-7308463bb18d	Storage	0893a149-d439-48e7-885e-ebc35a496c07	Main	2025-12-09T02:14:06.775+03:00				10.14.1.72		UCLH\\A.Avakian					
