date,total,critical,high,medium,low,top_entity,top_score
2025-12-25,19,1,3,6,9,tmtp-000112,0.8052292201475741
2025-12-26,19,1,3,6,9,tmtp-000112,0.5997868034745103
2025-12-27,17,1,3,5,8,tmtp-000112,1.0
2025-12-28,17,1,3,5,8,tmtp-000112,1.0
2025-12-29,19,1,3,6,9,tmtp-003312,0.5619007270755786
2025-12-30,19,1,3,6,9,tmtp-003366,0.6090734597720495
2025-12-31,16,1,3,4,8,tmtp-000112,1.0
