date,total,critical,high,medium,low,top_entity,top_score
2025-12-25,20,1,3,6,10,user018,1.0
2025-12-26,19,1,3,6,9,user009,0.8347083330037384
2025-12-27,19,1,3,6,9,user011,0.7652707057965965
2025-12-28,16,1,3,4,8,user012,1.0
2025-12-29,20,1,3,6,10,user008,1.0
2025-12-30,19,1,3,6,9,user018,1.0
2025-12-31,18,1,3,5,9,user054,0.6849872952344256
